Original Ordering,Date Eval (press Ctrl and ;),Time Eval (press Ctrl and :),Panelist Initials,CoEx Sample Code,Sample Information,Cacao,Total Acidity,Acid - Fruit,Acid - Acetic,Acid - Lactic,Acid - Mineral and Butyric,Bitterness,Astringency,Total Fresh Fruit,Fruit - Berry,Fruit - Citrus,Fruit - Dark,Fruit - Yellow / Orange / White flesh,Fruit - Tropical,Total Browned Fruit,Fruit - Dried,Fruit - Brown,Fruit - Over ripe,Total Vegetal,Vegetal - Grassy / Green vegetal / Herbal,Vegetal - Earthy / Mushroom / Moss / Woodsy,Total Floral,Floral - Orange blossom,Floral - Flowers,Total Woody,Wood - Light wood,Wood - Dark wood,Wood - Resin,Total Spice,Spice - Spices,Spice - Tobacco,Spice - Savory / Umami,Total Nutty,Nutty - Nut flesh,Nutty - Nut skins,Caramel / Panela,Sweetness (for chocolate only),Roast Degree,Total Off-flavours,Dirty / Dusty,Musty,Mouldy,Meaty / Animal / Leather,Over-fermented / Rotten fruit,Putrid /  Manure,Smoky,Other Off-Flavour,Other Off-Flavour Description,Overall Flavour comment,Feedback comment,Global Quality (0 - 10),Uniqueness,Complexity,Harmony / Balance,Clear / Clean / Bright,Quality of Acidity,Quality of Astringency,Quality of Bitterness,Quality of Finish / Aftertaste,TDS Mode,TDS Total Duration (s),TDS Swallow Time (s),TDS Events JSON,TDS Intervals - Cacao,TDS Intervals - Acidity,TDS Intervals - Bitterness,TDS Intervals - Astringency,TDS Intervals - Roast,TDS Intervals - Fresh Fruit,TDS Intervals - Browned Fruit,TDS Intervals - Vegetal,TDS Intervals - Floral,TDS Intervals - Woody,TDS Intervals - Spice,TDS Intervals - Nutty,TDS Intervals - Caramel,TDS Intervals - Sweetness,TDS Intervals - Defects,TDS Aroma Intensity,TDS Aftertaste Intensity,TDS Aftertaste Quality,TDS Dominant Aftertaste,TDS Aftertaste Boosts,TDS Attack Duration (s),TDS Duration % - Cacao,TDS Score - Cacao,TDS Duration % - Acidity,TDS Score - Acidity,TDS Duration % - Bitterness,TDS Score - Bitterness,TDS Duration % - Astringency,TDS Score - Astringency,TDS Duration % - Roast,TDS Score - Roast,TDS Duration % - Fresh Fruit,TDS Score - Fresh Fruit,TDS Duration % - Browned Fruit,TDS Score - Browned Fruit,TDS Duration % - Vegetal,TDS Score - Vegetal,TDS Duration % - Floral,TDS Score - Floral,TDS Duration % - Woody,TDS Score - Woody,TDS Duration % - Spice,TDS Score - Spice,TDS Duration % - Nutty,TDS Score - Nutty,TDS Duration % - Caramel,TDS Score - Caramel,TDS Duration % - Sweetness,TDS Score - Sweetness,TDS Duration % - Defects,TDS Score - Defects,,,,
,2026-01-31,8:46,HH,TDS_expert,,4,6,0,0,0,0,6,6,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,7,0,0,0,0,0,0,0,0,expert,60.6034,40.5576,"[{""attrId"":""bitterness"",""start"":0.6035,""end"":8.33969999998808,""phase"":""melting""},{""attrId"":""nutty"",""start"":8.33969999998808,""end"":10.68440000000596,""phase"":""melting""},{""attrId"":""astringency"",""start"":10.68440000000596,""end"":18.24809999999404,""phase"":""melting""},{""attrId"":""fresh_fruit"",""start"":18.24809999999404,""end"":20.53629999998212,""phase"":""melting""},{""attrId"":""acidity"",""start"":20.53629999998212,""end"":28.30759999999404,""phase"":""melting""},{""attrId"":""browned_fruit"",""start"":28.30759999999404,""end"":30.24859999999404,""phase"":""melting""},{""attrId"":""woody"",""start"":30.24859999999404,""end"":33.68890000000596,""phase"":""melting""},{""attrId"":""spice"",""start"":38.33429999998212,""end"":41.85929999998212,""phase"":""melting""},{""attrId"":""astringency"",""start"":41.85929999998212,""end"":47.42519999998808,""phase"":""residual""},{""attrId"":""cacao"",""start"":47.42519999998808,""end"":50.50440000000596,""phase"":""residual""},{""attrId"":""roast"",""start"":50.50440000000596,""end"":55.60619999998808,""phase"":""residual""},{""attrId"":""nutty"",""start"":55.60619999998808,""end"":60.60340000000596,""phase"":""residual""}]","[{""start"":47.43,""end"":50.5}]","[{""start"":20.54,""end"":28.31}]","[{""start"":0.6,""end"":8.34}]","[{""start"":10.68,""end"":18.25},{""start"":41.86,""end"":47.43}]","[{""start"":50.5,""end"":55.61}]","[{""start"":18.25,""end"":20.54}]","[{""start"":28.31,""end"":30.25}]",,,"[{""start"":30.25,""end"":33.69}]","[{""start"":38.33,""end"":41.86}]","[{""start"":8.34,""end"":10.68},{""start"":55.61,""end"":60.6}]",,,,8,6,negative,astringency,astringency +1,roast +1,cacao +1,astringency +1,roast +1,7.99082,0.00%,1,19.50%,5,19.40%,5,18.90%,5,0.00%,1,5.70%,4,4.90%,3,0.00%,0,0.00%,0,8.60%,5,5.60%,4,5.90%,4,0.00%,0,0.00%,0,0.00%,0
,2026-01-31,8:39,HS,TDS_basic,,1,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,7,0,0,0,0,0,0,0,0,normal,60.6391,40.4783,"[{""attrId"":""bitterness"",""start"":1.4704000000059605,""end"":10.640200000017881,""phase"":""melting""},{""attrId"":""astringency"",""start"":10.640200000017881,""end"":20.3615,""phase"":""melting""},{""attrId"":""acidity"",""start"":20.3615,""end"":31.25530000001192,""phase"":""melting""},{""attrId"":""astringency"",""start"":42.90130000001192,""end"":50.523100000023845,""phase"":""residual""},{""attrId"":""roast"",""start"":50.523100000023845,""end"":60.639,""phase"":""residual""}]",,"[{""start"":20.36,""end"":31.26}]","[{""start"":1.47,""end"":10.64}]","[{""start"":10.64,""end"":20.36},{""start"":42.9,""end"":50.52}]","[{""start"":50.52,""end"":60.64}]",,,,,,,,,,,8,7,neutral,roast,astringency +1,roast +3,astringency +1,roast +3,7.80158,0.00%,1,27.90%,6,23.50%,6,24.90%,6,0.00%,1,,,,,,,,,,,,,,,,,,,,,
